"ID","nombrecompleto","INSTITUCION","NOMBRE","APELLIDO","Cargo","DestinoJunto","Pais","LatLong","Participacion","SALIDA","ano","REGRESO","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
1602,"Amanda Edith","Ministerio de Seguridad Pública","AMANDA","EDITH","Director","chile","chile","-30:-71'","ASISTIR SEMINARIO DENOMINADO ""LA MUJER, LA PAZ Y LA SEGURIDAD""","7/26/2016",2016,"7/30/2016",,"Auspiciado",600,,"no","No"
1603,"Ameth Barria","Ministerio de Seguridad Pública","AMETH","BARRIA","Asistente rh","chile","chile","-30:-71'","ASISTIR AL XXI CONGRESO INTL DEL CLAD SOBRE LA REFORMA DEL ESTADO Y DE LA ADM PUBLICA, CHILE DEL 8 AL 11/11/2016.","11/7/2016",2016,"11/12/2016",,"Convenio Marco",2500,,"no","No"
1604,"Alexia Soto","Ministerio de Seguridad Pública","ALEXIA","SOTO","Abogada rh","seoul","corea del sur","37:127,5'","ASISTIR SEMINARIO DENOMINADO ""PROGRAMA DE IGUALDAD DE GENERO"" A CELEBRARSE DEL 29 DE OCTUBRE AL 14 DE NOVIEMBRE DE 2016 EN SEOUL KOREA.","11/29/2016",2016,"11/14/2016",,"Convenio Marco",9600,,"no","No"
1605,"Ricardo Diaz","Ministerio de Seguridad Pública","RICARDO","DIAZ","Director","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EVENTO ISC WEST A CELEBRARSE DEL 6 AL 8 DE ABRIL/2016 EN LAS VEGAS NEVADA, E.E.U.U","4/6/2016",2016,"4/8/2016",697,,1500,,"no","No"
1606,"Belisario Tejada","Ministerio de Seguridad Pública","BELISARIO","TEJADA","Tecnico","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EVENTO ISC WEST A CELEBRARSE DEL 6 AL 8 DE ABRIL/2016 EN LAS VEGAS NEVADA, E.E.U.U","4/6/2016",2016,"4/8/2016",697,,1500,,"no","No"
1607,"Marisol Guerra","Ministerio de Seguridad Pública","MARISOL","GUERRA","Tecnico","españa","españa","40:-4'","MISION OFICIAL A LEON, ESPAÑA PARA PARTICIPAR EN EL SUMMER BOOT CAMP DEL 16 AL 30 JULIO DE 2016","7/16/2016",2016,"7/30/2016",,"Convenio Marco",2100,,"no","No"
1608,"Belisario Tejada","Ministerio de Seguridad Pública","BELISARIO","TEJADA","Director tecnologia","orlando, florida","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EVENTO GARTNER SYMPOSIUM/ITXPO A CELEBRARSE DEL 16 AL 20/OCTUBRE DE 2016 EN ORLANDO FLORIDA USA","10/15/2016",2016,"10/21/2016",,"Convenio Marco",3000,,"no","No"
1609,"Belinda Castroverde","Ministerio de Seguridad Pública","BELINDA","CASTROVERDE","Director","nueva york, estados unidos","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN LA SESION ESPECIAL DE LA ASAMBLEA GENERAL DE LAS NACIONES UNIDAS SOBRE DROGAS (Ungass) 2016, DEL 10 al 21 DE ABRIL/16, USA","4/18/2016",2016,"4/22/2016",1200,,2000,,"no","No"
1610,"Aquiles Medina","Ministerio de Seguridad Pública","AQUILES","MEDINA","Subdirector","honduras","honduras","15:-86,5'","PARTICIPAR EN REUNION DE LA XXI CRM A REALIZARSE DEL 15 AL 18/11/2016 EN HONDURAS","11/14/2016",2016,"11/19/2016",,"Convenio Marco",2000,,"no","No"
1611,"Eric Carrion","Ministerio de Seguridad Pública","ERIC","CARRION","Jefe contabilidad","paraguay","paraguay","-22,993333:-57,996389'","ASISTIR A LA VII CUMBRE DE LAS AMERICAS 2016, DE LOS BALANCES FINANCIEROS AL BALANCE SOCIAL Y AMBIENTAL. QUE SE REALIZARA EN ASUNCION, PARAGUAY LOS DIAS 08,09,10/06/2016.","7/6/2016",2016,"11/6/2016",,"Convenio Marco",1600,,"no","No"
1612,"Esperanza Gonzalez","Ministerio de Seguridad Pública","ESPERANZA","GONZALEZ","Asistente administrativa","santo domingo","santo domingo","#N/A","ENFOQUES MODERNOS DE IMPLANTACION DE LA GESTION PARA RESULTADOS. QUE SE REALIZARA EN LA CUIDAD DE SANTO DOMINGO, REPUBLICA DOMINICANA DEL 24 AL 30 DE JULIO DEL 2016.","7/24/2016",2016,"7/30/2016",,"Convenio Marco",2400,,"no","No"
1613,"Yitza Batista","Ministerio de Seguridad Pública","YITZA","BATISTA","Asistente de tesoreria","santo domingo","santo domingo","#N/A","ENFOQUES MODERNOS DE IMPLANTACION DE LA GESTION PARA RESULTADOS. QUE SE REALIZARA EN LA CUIDAD DE SANTO DOMINGO, REPUBLICA DOMINICANA DEL 24 AL 30 DE JULIO DEL 2016.","7/24/2016",2016,"7/30/2016",,"Convenio Marco",2400,,"no","No"
1614,"Indira Palacio","Ministerio de Seguridad Pública","INDIRA","PALACIO","Asistente compras","miami, florida","estados unidos de américa","39,828175:-98,5795'","ASISTIRA AL XXII SEMINARIO INTERAMERICANO SOBRE MODERNIZACION DE LAS ADM PUBLICA DE CLASE MUNDIAL: DESAFIOS CLAVES PARA EL DESARROLLO INCLUSIVO DE LOS PAISES DE LA REGION DEL 13 AL 18 DE SEP. 2016","9/12/2016",2016,"9/19/2016",,"Convenio Marco",3500,,"no","No"
1615,"Annjanette Vergara","Ministerio de Seguridad Pública","ANNJANETTE","VERGARA","Asistente contabilidad","miami, florida","estados unidos de américa","39,828175:-98,5795'","ASISTIRA AL XXII SEMINARIO INTERAMERICANO SOBRE MODERNIZACION DE LAS ADM PUBLICA DE CLASE MUNDIAL: DESAFIOS CLAVES PARA EL DESARROLLO INCLUSIVO DE LOS PAISES DE LA REGION DEL 13 AL 18 DE SEP. 2016","9/12/2016",2016,"9/19/2016",,"Convenio Marco",3500,,"no","No"
1616,"Aziza Ladrón","Ministerio del Ambiente","Aziza","Ladrón","Secretario general","ecuador","ecuador","-2:-77,5'","Reunión Preparatoria de Expertos de Alto Nivel y a la XVIII Reunión del Foro de Ministros y Ministras de Medio Ambiente de América Latina y el Caribe","30/01/2012",2012,"03/02/2012",,,,,"no","No"
1617,"Nery Esquivel","Ministerio del Ambiente","Nery","Esquivel","Dirección de fomento a la cultura ambiental","mexico","méxico","23:-102'","III Curso Internacional de Capacitación en Gestión Integral de Residuos con Enfoque 3R's para países de Centroamérica y el Caribe","29/01/2012",2012,"25/02/2012",,,,,"no","No"
1618,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Sub-administración","ecuador","ecuador","-2:-77,5'","XVIII Reunión del Foro de Ministros y Ministras de Medio Ambiente de América Latina y el Caribe y a la XXXVI Reunión Extraordinaria del Consejo de Ministros de la CCAD.","01/02/2012",2012,"05/02/2012",1471,,600,,"no","No"
1619,"José González","Ministerio del Ambiente","José","González","Dirección de áreas protegidas y vida silvestre","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Entrenamiento para la aplicación de normativas para la exportación reexportación e importación de especies de vida silvestre","06/02/2012",2012,"10/02/2012",,,675,,"no","No"
1620,"Lucía Chandeck","Ministerio del Ambiente","Lucía","Chandeck","Administración general","cuba","cuba","22:-79,5'","Firma del Acuerdo Marco de Coop. Técnica Científica y Académica en materia ambiental entre ANAM y CITMA (CUBA)","18/02/2012",2012,"25/02/2012",,,,,"no","No"
1621,"Rita Orozco","Ministerio del Ambiente","Rita","Orozco","Dirección de fomento a la cultura ambiental","cuba","cuba","22:-79,5'","Firma del Acuerdo Marco de Coop. Técnica Científica y Académica en materia ambiental entre ANAM y CITMA (CUBA)","18/02/2012",2012,"25/02/2012",,,,,"no","No"
1622,"Ma. Gracia","Ministerio del Ambiente","Ma.","Gracia","Oficina de relaciones públicas","cuba","cuba","22:-79,5'","Firma del Acuerdo Marco de Coop. Técnica Científica y Académica en materia ambiental entre ANAM y CITMA (CUBA)","18/02/2012",2012,"25/02/2012",,,,,"no","No"
1623,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","costa rica","costa rica","10:-84'","Taller de Circunscripción Ampliado del Fondo para el Medio Ambiente Mundial FMAM.","05/03/2012",2012,"08/03/2012",,,420,,"no","No"
1624,"Edgar Chacón","Ministerio del Ambiente","Edgar","Chacón","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Taller de Circunscripción Ampliado del Fondo para el Medio Ambiente Mundial FMAM.","05/03/2012",2012,"10/03/2012",,,525,,"no","No"
1625,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Sub-administración","francia","francia","46:2'","Conferencia Ministerial del VI Foro Mundial del Agua","10/03/2012",2012,"18/03/2012",,,,,"no","No"
1626,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","francia","francia","46:2'","Conferencia Ministerial del VI Foro Mundial del Agua","10/03/2012",2012,"18/03/2012",,,,,"no","No"
1627,"Gerardo González","Ministerio del Ambiente","Gerardo","González","Dirección de gestión integrada de cuencas hidrográficas","francia","francia","46:2'","Conferencia Ministerial del VI Foro Mundial del Agua","10/03/2012",2012,"18/03/2012",2650,,5400,,"no","No"
1628,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Primera ronda de negociaciones informales del Documento Cero sobre Río+20 y a la Reunión Intersesional como parte de las reuniones preparatorias de la Conferencia sobre Desarrollo Sostenible de las Naciones Unidas","19/03/2012",2012,"28/03/2012",,,1350,,"no","No"
1629,"Marina Gallardo","Ministerio del Ambiente","Marina","Gallardo","Dirección de áreas protegidas y vida silvestre","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Audiencia convocada por la Comisión Interamericana de Derechos Humanos sobre el derecho a la propiedad de los pueblos indígenas en Panamá","22/03/2012",2012,"24/03/2012",915,,1350,,"no","No"
1630,"Eric Rodríguez","Ministerio del Ambiente","Eric","Rodríguez","Dirección de gestión integrada de cuencas hidrográficas","paraguay","paraguay","-22,993333:-57,996389'","8va Reunión de la Junta Normativa del Programa UN-REDD","24/03/2012",2012,"28/03/2012",,,525,,"no","No"
1631,"Daris Domínguez","Ministerio del Ambiente","Daris","Domínguez","Dirección de gestión integrada de cuencas hidrográficas","costa rica","costa rica","10:-84'","Taller Regional ""Evaluando la Vulnerabilidad y Aumentando la Resiliencia en el Sector Agropecuario para promover el Desarrollo Económico y la Seguridad Alimentaria","26/03/2012",2012,"30/03/2012",,,525,,"no","No"
1632,"Bolívar Pérez","Ministerio del Ambiente","Bolívar","Pérez","Dirección de evaluación y ordenamiento ambiental","cuba","cuba","22:-79,5'","X Foro de Cuencas Hidrográficas de la XXXIII Convención Panamericana de Ingenierías UPADI 2012","08/04/2012",2012,"14/04/2012",928,,1450,,"no","No"
1633,"Lilibeth Barba","Ministerio del Ambiente","Lilibeth","Barba","Dirección de gestión integrada de cuencas hidrográficas","costa rica","costa rica","10:-84'","III Módulo del Diplomado Regional en Monitoreo de Recursos Forestales","18/04/2012",2012,"28/04/2012",,,1155,,"no","No"
1634,"Roney Samaniego","Ministerio del Ambiente","Roney","Samaniego","Dirección administrativa de sistema de información ambiental","costa rica","costa rica","10:-84'","III Módulo del Diplomado Regional en Monitoreo de Recursos Forestales","18/04/2012",2012,"28/04/2012",,,1155,,"no","No"
1635,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Sub-administración","honduras","honduras","15:-86,5'","Convocatoria a la XXXVIII Reunión Extraordinaria del Consejo de Ministros de las CCAD","07/05/2012",2012,"11/05/2012",,,600,,"no","No"
1636,"Héctor Rodríguez","Ministerio del Ambiente","Héctor","Rodríguez","Unidad de cambio climático y desertificación","alemania","alemania","51,5:10,5'","Conferencia de las Naciones Unidas de Cambio Climático","12/05/2012",2012,"27/05/2012",,,2880,,"no","No"
1637,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Sub-administración","alemania","alemania","51,5:10,5'","Conferencia de las Naciones Unidas de Cambio Climático","19/05/2012",2012,"27/05/2012","5117.57",,6300,,"no","No"
1638,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","42° Reunión del Consejo del Fondo para el Medio Ambiente Mundial FMAM (GEF por sus siglas en inglés)","03/06/2012",2012,"08/06/2012",,,525,,"no","No"
1639,"Denise Delvalle","Ministerio del Ambiente","Denise","Delvalle","Dirección de protección de la calidad ambiental","aruba","aruba","12,5:-69,966667'","Primera Reunión del Comité Asesor Científico y Técnico al Protocolo relativo a la Contaminación procedente de fuentes y actividades Terrestres en la región del Caribe (Protocolo FTCM).","04/06/2012",2012,"08/06/2012",,,525,,"no","No"
1640,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Sub-administración","brasil","brasil","-10:-55'","III Reunión Preparatoria del Comité de Naciones Unidas sobre el Desarrollo Sostenible","12/06/2012",2012,"16/06/2012",,,1750,,"no","No"
1641,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","brasil","brasil","-10:-55'","III Reunión Preparatoria del Comité de Naciones Unidas sobre el Desarrollo Sostenible y Conferencia de las Naciones Unidas sobre Desarrollo Sostenible Río+20","12/06/2012",2012,"23/06/2012",,,5400,,"no","No"
1642,"Yahaira Cárdenas","Ministerio del Ambiente","Yahaira","Cárdenas","Unidad de cambio climático y desertificación","china","china","35:105'","Seminario de Desarrollo Económico y Cambio Climático de América Latina","16/06/2012",2012,"04/07/2012",,,3420,,"no","No"
1643,"Javier Morales","Ministerio del Ambiente","Javier","Morales","Oficina de planificación y política ambiental","china","china","35:105'","Seminario de Desarrollo Económico y Cambio Climático de América Latina","16/06/2012",2012,"04/07/2012",,,3420,,"no","No"
1644,"Lucía Chandeck","Ministerio del Ambiente","Lucía","Chandeck","Administración general","brasil","brasil","-10:-55'","Conferencia de las Naciones Unidas sobre Desarrollo Sostenible Río+20","18/06/2012",2012,"25/06/2012",,,,,"no","No"
1645,"Sygrid Barragán","Ministerio del Ambiente","Sygrid","Barragán","Secretario general","brasil","brasil","-10:-55'","Conferencia de las Naciones Unidas sobre Desarrollo Sostenible Río+20","18/06/2012",2012,"25/06/2012",,,,,"no","No"
1646,"Eric Rodríguez","Ministerio del Ambiente","Eric","Rodríguez","Dirección de gestión integrada de cuencas hidrográficas","honduras","honduras","15:-86,5'","Taller de Seguimiento del Programa REDD/CCAD-GIZ","18/06/2012",2012,"22/06/2012",,,,,"no","No"
1647,"Leticia Samaniego","Ministerio del Ambiente","Leticia","Samaniego","Dirección de áreas protegidas y vida silvestre","rusia","rusia","60:100'","Convención sobre la Protección del Patrimonio Cultural y Natural Mundial","22/06/2012",2012,"07/07/2012",,,9600,,"no","No"
1648,"Cynthia Deville","Ministerio del Ambiente","Cynthia","Deville","Unidad de cambio climático y desertificación","el salvador","el salvador","13,833333:-88,916667'","Taller sobre mecanismo de Financiamiento y Transferencia de Tecnologías Solares y Eólicas para tomadores de decisiones","26/06/2012",2012,"30/06/2012",,,525,,"no","No"
1649,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Sub-administración","honduras","honduras","15:-86,5'","XLIX Reunión Ordinaria de Consejo de Ministros de la Comisión Centroamericana de Ambiente y Desarrollo CCAD","28/06/2012",2012,"30/06/2012",,,360,,"no","No"
1650,"Carlos Gómez","Ministerio del Ambiente","Carlos","Gómez","Dirección de gestión integrada de cuencas hidrográficas","colombia","colombia","4:-72'","Reunión de la Alianza REDD+Partnership","30/06/2012",2012,"03/07/2012",,,,,"no","No"
1651,"Alex De Gracia","Ministerio del Ambiente","Alex","De Gracia","Dirección de gestión integrada de cuencas hidrográficas","brasil","brasil","-10:-55'","V Curso Internacional de Monitoreo de Bosques Tropicales","01/07/2012",2012,"21/07/2012",,,2835,,"no","No"
1652,"Fernando Domínguez","Ministerio del Ambiente","Fernando","Domínguez","Administración regional de los santos","brasil","brasil","-10:-55'","V Curso Internacional de Monitoreo de Bosques Tropicales","01/07/2012",2012,"21/07/2012",,,2835,,"no","No"
1653,"Tamara Hernández","Ministerio del Ambiente","Tamara","Hernández","Dirección administrativa de sistema de información ambiental","brasil","brasil","-10:-55'","V Curso Internacional de Monitoreo de Bosques Tropicales","01/07/2012",2012,"21/07/2012",,,2835,,"no","No"
1654,"Francisco Barría","Ministerio del Ambiente","Francisco","Barría","Dirección administrativa de sistema de información ambiental","brasil","brasil","-10:-55'","V Curso Internacional de Monitoreo de Bosques Tropicales","01/07/2012",2012,"21/07/2012",,,2835,,"no","No"
1655,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Sub-administración","rumania","rumania","46:25'","11° Reunión de las Partes Contratantes en la Convención sobre los Humedales RAMSAR","04/07/2012",2012,"14/07/2012",,,,,"no","No"
1656,"Marisol Dimas","Ministerio del Ambiente","Marisol","Dimas","Dirección de áreas protegidas y vida silvestre","rumania","rumania","46:25'","11° Reunión de las Partes Contratantes en la Convención sobre los Humedales RAMSAR","02/07/2012",2012,"14/07/2012",,,2340,,"no","No"
1657,"Ibelice Añino","Ministerio del Ambiente","Ibelice","Añino","Dirección de áreas protegidas y vida silvestre","rumania","rumania","46:25'","11° Reunión de las Partes Contratantes en la Convención sobre los Humedales RAMSAR","04/07/2012",2012,"14/07/2012","2388.94",,8600,,"no","No"
1658,"Javier Morales","Ministerio del Ambiente","Javier","Morales","Oficina de planificación y política ambiental","honduras","honduras","15:-86,5'","Quinta Sesión anual del Comité Técnico Regional de la Iniciativa "" La Economía del Cambio Climático en Centroamérica.","08/07/2012",2012,"13/08/2012",,,630,,"no","No"
1659,"Dalia Vargas","Ministerio del Ambiente","Dalia","Vargas","Dirección de gestión integrada de cuencas hidrográficas","china","china","35:105'","Seminario sobre la Gestión y Utilización Sostenible de los Recursos del Bambú para los países en Desarrollo","09/07/2012",2012,"02/08/2012",,,4500,,"no","No"
1660,"Héctor Rodríguez","Ministerio del Ambiente","Héctor","Rodríguez","Unidad de cambio climático y desertificación","nicaragua","nicaragua","13:-85'","Taller de Negociadores de Cambio Climático en Ruta a la COP XVIII","11/07/2012",2012,"14/07/2012",,,420,,"no","No"
1661,"Hernández Bonilla","Ministerio del Ambiente","Hernández","Bonilla","Administración regional de bocas del toro","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","XXII Curso Internacional de Manejo de Áreas Protegidas","11/07/2012",2012,"12/08/2012",,,4455,,"no","No"
1662,"Héctor Rodríguez","Ministerio del Ambiente","Héctor","Rodríguez","Unidad de cambio climático y desertificación","antigua y barbuda","antigua y barbuda","17,05:-61,8'","Taller de Entrenamiento Práctico de Capacitación para América Latina y el Caribe sobre la Evaluación de la Mitigación","15/07/2012",2012,"21/07/2012",,,735,,"no","No"
1663,"Viterbo Villarreal","Ministerio del Ambiente","Viterbo","Villarreal","Unidad de cambio climático y desertificación","mexico","méxico","23:-102'","Reunión Regional de Expertos sobre una serie de enfoques para hacer frente a la pérdida y los daños asociados con los efectos adversos del cambio climático.","22/07/2012",2012,"26/07/2012",,,525,,"no","No"
1664,"Ibelice Añino","Ministerio del Ambiente","Ibelice","Añino","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primera Reunión del comité coordinadro de la Unidad Técnica Binacional de Manejo al Parque Internacional La Amistad.","06/08/2012",2012,"11/08/2012",,,,,"no","No"
1665,"Lionel Quiróz","Ministerio del Ambiente","Lionel","Quiróz","Administración regional de chiriquí","costa rica","costa rica","10:-84'","Primera Reunión del comité coordinadro de la Unidad Técnica Binacional de Manejo al Parque Internacional La Amistad.","06/08/2012",2012,"11/08/2012",,,,,"no","No"
1666,"Benigno Villamonte","Ministerio del Ambiente","Benigno","Villamonte","Administración regional de bocas del toro","costa rica","costa rica","10:-84'","Primera Reunión del comité coordinadro de la Unidad Técnica Binacional de Manejo al Parque Internacional La Amistad.","06/08/2012",2012,"11/08/2012",,,,,"no","No"
1667,"Bedsy González","Ministerio del Ambiente","Bedsy","González","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primera Reunión del comité coordinadro de la Unidad Técnica Binacional de Manejo al Parque Internacional La Amistad.","06/08/2012",2012,"11/08/2012",,,,,"no","No"
1668,"Yajaira Luna","Ministerio del Ambiente","Yajaira","Luna","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primera Reunión del comité coordinadro de la Unidad Técnica Binacional de Manejo al Parque Internacional La Amistad.","06/08/2012",2012,"11/08/2012",,,,,"no","No"
1669,"Israel Tejada","Ministerio del Ambiente","Israel","Tejada","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primera Reunión del comité coordinadro de la Unidad Técnica Binacional de Manejo al Parque Internacional La Amistad.","06/08/2012",2012,"11/08/2012",,,315,,"no","No"
1670,"Alexander Montero","Ministerio del Ambiente","Alexander","Montero","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primera Reunión del comité coordinadro de la Unidad Técnica Binacional de Manejo al Parque Internacional La Amistad.","06/08/2012",2012,"11/08/2012",,,,,"no","No"
1671,"Lissy Tapia","Ministerio del Ambiente","Lissy","Tapia","Unidad de cambio climático y desertificación","nicaragua","nicaragua","13:-85'","Taller de fortalecimiento relacionadas con el Agua y la Adaptación al Cambio Climático en Centroamérica.","14/08/2012",2012,"17/08/2012",,,420,,"no","No"
1672,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","tailandia","tailandia","15:100'","Sesiones Informales Adicionales de los Grupos de Trabajo Ad Hoc.","25/08/2012",2012,"06/09/2012",,,2340,,"no","No"
1673,"Paola Jaén","Ministerio del Ambiente","Paola","Jaén","Oficina de asuntos internacionales","china","china","35:105'","Seminario de Funcionarios de Países Latinoamericans sonre la Protección Mediambiental y la Economía de Bajo Carbono.","20/08/2012",2012,"19/09/2012",,,,,"no","No"
1674,"Ibelice Añino","Ministerio del Ambiente","Ibelice","Añino","Dirección de áreas protegidas y vida silvestre","república de corea","corea del sur","37:127,5'","Congreso Mundial de la Naturaleza.","04/09/2012",2012,"16/09/2012",,,2340,,"no","No"
1675,"Emet Herrera","Ministerio del Ambiente","Emet","Herrera","Dirección de gestión integrada de cuencas hidrográficas","brasil","brasil","-10:-55'","Clima y Eventos Extremos y su Impacto en los Reursos Hídricos.","09/09/2012",2012,"14/09/2012",900,,810,,"no","No"
1676,"María Barrios","Ministerio del Ambiente","María","Barrios","Dirección de gestión integrada de cuencas hidrográficas","brasil","brasil","-10:-55'","Taller Sobre Técnicas alternativas del uso del fuego en el Medio rural y 2da Reeunión de la Red Regional del CARIBE Mesoamérica y Sudamérica de Incendios Forestales.","23/09/2012",2012,"30/09/2012",,,1080,,"no","No"
1677,"Viterbo Villarreal","Ministerio del Ambiente","Viterbo","Villarreal","Unidad de cambio climático y desertificación","españa","españa","40:-4'","IX encuentro Anual de la Red Iberoamericana de Oficinas de Cambio Climático","29/09/2012",2012,"07/10/2012",,,,,"no","No"
1678,"Mirta Benítez","Ministerio del Ambiente","Mirta","Benítez","Unidad de cambio climático y desertificación","españa","españa","40:-4'","IX encuentro Anual de la Red Iberoamericana de Oficinas de Cambio Climático","29/09/2012",2012,"07/10/2012",,,,,"no","No"
1679,"Lionel Quiróz","Ministerio del Ambiente","Lionel","Quiróz","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primer Encuentro de Guardaparques del Pila Sector Pacífico Panamá-Costa Rica","27/09/2012",2012,"01/10/2012",,,,,"no","No"
1680,"José Araúz","Ministerio del Ambiente","José","Araúz","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primer Encuentro de Guardaparques del Pila Sector Pacífico Panamá-Costa Rica","27/09/2012",2012,"01/10/2012",,,,,"no","No"
1681,"Aurelio Gracia","Ministerio del Ambiente","Aurelio","Gracia","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primer Encuentro de Guardaparques del Pila Sector Pacífico Panamá-Costa Rica","27/09/2012",2012,"01/10/2012",,,,,"no","No"
1682,"Delvis Mojica","Ministerio del Ambiente","Delvis","Mojica","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primer Encuentro de Guardaparques del Pila Sector Pacífico Panamá-Costa Rica","27/09/2012",2012,"01/10/2012",,,,,"no","No"
1683,"Alfonso Serrano","Ministerio del Ambiente","Alfonso","Serrano","Dirección de áreas protegidas y vida silvestre","costa rica","costa rica","10:-84'","Primer Encuentro de Guardaparques del Pila Sector Pacífico Panamá-Costa Rica","27/09/2012",2012,"01/10/2012",,,,,"no","No"
1684,"Darío Luque","Ministerio del Ambiente","Darío","Luque","Dirección de áreas protegidas y vida silvestre","india","india","20:77'","Undécima Reunión de la Conferencia de las Partes en el Convenio sobre la Diversidad Bilógico (COP-11)","06/10/2012",2012,"20/10/2012",,,,,"no","No"
1685,"Tamara Hernández","Ministerio del Ambiente","Tamara","Hernández","Redd","nicaragua","nicaragua","13:-85'","Reunión de Seguimiento del Grupo Regional de Monitoreo de los Recursos Forestales","07/10/2012",2012,"11/10/2012",,,525,,"no","No"
1686,"Eric Rodríguez","Ministerio del Ambiente","Eric","Rodríguez","Redd","nicaragua","nicaragua","13:-85'","Taller de Seguimiento del Programa REDD-CCAD-GIZ","09/10/2012",2012,"13/10/2012",,,525,,"no","No"
1687,"Mixcel Villagra","Ministerio del Ambiente","Mixcel","Villagra","Dirección de áreas protegidas y vida silvestre","argentina","argentina","-34:-64'","VII Curso Regional para Guarda Parques de América Latina y el Caribe","07/10/2012",2012,"01/12/2012",,,7560,,"no","No"
1688,"Narciso Cubas","Ministerio del Ambiente","Narciso","Cubas","Dirección de gestión integrada de cuencas hidrográficas","chile","chile","-30:-71'","Reunión de Trabajo para la Elaboración del Informe de Recursos Géneticos Forestales para América Latina","16/10/2012",2012,"20/10/2012",,,675,,"no","No"
1689,"Carlos Gómez","Ministerio del Ambiente","Carlos","Gómez","Redd","congo","congo","0:25'","Novena Reunión de la Junta Normativa (ONU-REDD)","23/10/2012",2012,"29/10/2012",,,1260,,"no","No"
1690,"Gerardo González","Ministerio del Ambiente","Gerardo","González","Dirección de gestión integrada de cuencas hidrográficas","brasil","brasil","-10:-55'","II Reunión EUROCLIMA sobre Desertificación Degradación de las Tierras y Sequía (DLDD)","21/10/2012",2012,"26/10/2012",,,,,"no","No"
1691,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","mexico","méxico","23:-102'","Reunión para la Circunscripción ante el Consejo del Fondo para el Medio Ambiente (GEF)","21/10/2012",2012,"23/10/2012",,,315,,"no","No"
1692,"Mabel Morcillo","Ministerio del Ambiente","Mabel","Morcillo","Secretario general","mexico","méxico","23:-102'","Reunión para la Circunscripción ante el Consejo del Fondo para el Medio Ambiente (GEF)","21/10/2012",2012,"23/10/2012",,,315,,"no","No"
1693,"Luis Vega","Ministerio del Ambiente","Luis","Vega","Dirección de gestión integrada de cuencas hidrográficas","honduras","honduras","15:-86,5'","Fortalecimiento para el manejo sostenible de la uena en la Zona Forestal Protegida del embalse de el Cajón con la Participación comunitaria en la Repúblia de Honduras.","27/10/2012",2012,"11/11/2012",,,1575,,"no","No"
1694,"Denise Delvalle","Ministerio del Ambiente","Denise","Delvalle","Dirección de protección de la calidad ambiental","república dominicana","república dominicana","19:-70,666667'","Primera Reunión de las Partes Contratantes al Protocolo Relativo a la Contaminación procedente de fuentes actividades terrestre LBS.","23/10/2012",2012,"28/10/2012",,,630,,"no","No"
1695,"Israel Tejada","Ministerio del Ambiente","Israel","Tejada","Unargen","república dominicana","república dominicana","19:-70,666667'","Primera Reunión de las Partes Contratantes al Protocolo Relativo a la Contaminación procedente de fuentes actividades terrestre LBS. Áreas Protegidas","23/10/2012",2012,"28/10/2012",,,,,"no","No"
